Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
942713599679594499,@kureleruhi @VarunmThakur You can try your luck here: https://t.co/7crpagO5Ho #OlaSundowner,Ola,Olacabs,Mon Dec 18 11:10:11 +0000 2017,0,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,1,1,2
942715598512865281,"We are hosting #OlaSundowner, a yacht party in the run-up to the @SunburnFestival. To get yourself an invite, express your interest here https://t.co/tpyMpQ2ukB and we'll get in touch. 
Be there or be square! https://t.co/Xr9q1r6Y0y",Ola,Olacabs,Mon Dec 18 11:18:08 +0000 2017,127,41,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/DRUwvQVUMAA3Xo-.jpg ,1,1,1
943007262989213701,Embracing mass electric mobility - Nagpur leading the way in partnership with aggregators and manufacturers- A first hand experience of the mobility paradigm shift -Grt days ahead @NITIAayog #EVs https://t.co/9gBM4NnRfA,Ola,Olacabs,Tue Dec 19 06:37:06 +0000 2017,0,69,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/DRK8rq6XcAIzTzv.jpg https://pbs.twimg.com/media/DRK8rqxWAAc1OR5.jpg https://pbs.twimg.com/media/DRK8rq2XUAEjZXn.jpg https://pbs.twimg.com/media/DRK8rqyXUAEHVX4.jpg ,0,1,1
943022663320059905,A big panda hug to the newest member of our family! #SayOlaToFoodpanda https://t.co/xtVrYxqbqh,Ola,Olacabs,Tue Dec 19 07:38:18 +0000 2017,194,52,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/DRZJ42BVAAAO-1o.jpg ,0,1,0
943023789910016000,Very excited to announce our partnership with @deliveryherocom as we welcome the team of @foodpandaIndia onboard @Olacabs. We aim to create India's best online food service experience with Foodpanda‘s wonderful team! https://t.co/fithklcCkW (1/2),Ola,Olacabs,Tue Dec 19 07:42:46 +0000 2017,0,73,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,,1,0,3
943024680398553088,Panda is delighted to be a part of the @Olacabs family! #SayOlaToFoodpanda https://t.co/pPl9zITAVx,Ola,Olacabs,Tue Dec 19 07:46:19 +0000 2017,0,34,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,,1,1,1
943095723913969666,"@VeeraragRamdura Hi Veera, we customize your entertainment experience in #PrimePlay rides based on the city in which the ride is taken. For example, in Chennai, all Prime Play cabs have Tamil radio stations, as well as Tamil music playlist. However it may not be available in other cities. 1/2",Ola,Olacabs,Tue Dec 19 12:28:37 +0000 2017,0,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,1,1
943096190882611200,"@VeeraragRamdura If you had taken a Prime Play ride in Chennai, which didn't have Tamil radio stations, we'd love to look into the same and get it sorted out at the earliest.
We'd really appreciate if you could DM your CRN or registered phone number to help us identify and rectify the issue.",Ola,Olacabs,Tue Dec 19 12:30:28 +0000 2017,0,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,1
943451700198649856,Invites to the Yacht Party are out! Follow Olacabs on Instagram for all party updates. https://t.co/RiZZTwhsk6 #OlaSundowner https://t.co/0KgOyBJZ0u,Ola,Olacabs,Wed Dec 20 12:03:08 +0000 2017,26,4,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/DRfQQPFVQAAcdRz.jpg ,1,1,0
943686141256986624,"@sky_sarkar ????. We train our partners to be well behaved and professional. If you have a bad experience, leave a constructive feedback via the app. But no racial slurs please, that’s pretty uncool.",Ola,Olacabs,Thu Dec 21 03:34:43 +0000 2017,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,1
